cli_id,cli_PESEL,cli_name,cli_region,cli_city,cli_postal_code,cli_street,cli_contact_number
1500,22113291261,Mary Chapman,Pemrania,Johnsonchester,92229,711 Parker Mills Suite 978,+48724886737
1501,56988151586,Richard Baker,Silesia,Matthewsborough,66124,5702 Price Prairie Suite 518,+48171221294
1502,82281247181,Kyle Munoz,Pemrania,Kennedyton,06402,6761 Spencer Mall Apt. 890,+48359655813
1503,63296848885,Lindsey Newton,Podlasie,Lake Jenniferville,99882,6563 Wang Place,+48516472477
1504,58198656523,Alexandra Gilbert,Kuyavia,Benjaminton,19646,4973 Curry Park,+48943152925
1505,97983275346,Rachel Williams,Podlasie,Port Alexandria,93574,560 Laura Corners,+48658446469
1506,64445826981,Shannon May,Pomerelia,Port Jamiehaven,19866,626 Nathan Lock Apt. 371,+48438822761
1507,57732696685,Stephen Walsh,Masovia,South Jonathanbury,19398,7717 Holly Rue Suite 099,+48476858989
1508,86669127347,Bill Lewis,Podlasie,Allenbury,34404,11571 Hector Spring,+48142957292
1509,67451553937,Janet Little,Pemrania,North Russell,33876,83889 Pena Summit,+48476829783
1510,52858928841,Jason Jackson,Podlasie,Powellshire,61035,9570 Archer Ford,+48249151722
1511,52935685816,Barbara Long,Silesia,West Daniel,46114,19750 Guerrero Estates Suite 658,+48811365396
1512,17565678246,Regina Martin,Kuyavia,Hunterburgh,10338,289 Sanchez Union,+48854443973
1513,85889576152,Jordan Garcia,Pemrania,Liuland,98569,019 Ralph Canyon Apt. 296,+48254643294
1514,22173115864,Zachary Dudley,Masovia,Lake Erin,92971,1164 Todd Avenue Suite 959,+48696674134
1515,71399972211,Jonathan Arellano,Masovia,North Heather,31945,94138 Ralph Passage,+48264936917
1516,74874183223,Latoya Baldwin,Kuyavia,Ellisonside,91270,34362 Brandy Mill Suite 646,+48525359421
1517,17696911219,Alicia Waller,Podlasie,East Tonytown,53530,49444 Hill Garden Suite 959,+48219762874
1518,56131271488,Anna Nichols,Podlasie,Nielsenchester,04688,4616 Jones Stream,+48827541374
1519,66392873249,Kimberly Shepherd,Pemrania,Warrenburgh,72198,94631 Thompson Radial Apt. 840,+48871191182
1520,68472194812,Mrs. Robin Ramirez,Pomerelia,Port Tina,62068,9873 Burns Streets Apt. 866,+48748335429
1521,24873869275,Jason Stein,Pomerelia,Mercedesburgh,57826,18034 Tammy Lock Apt. 626,+48554432491
1522,94289833327,Heather Hayes,Masovia,Churchfurt,97340,6280 Kelly Highway Apt. 751,+48355852978
1523,48764282775,Yolanda Phillips,Masovia,West Sarastad,83865,1407 Russell Islands Apt. 909,+48756997991
1524,91677558594,Travis Rodriguez,Kuyavia,Petersside,96153,9681 Macdonald Squares Apt. 564,+48589455735
1525,84461776931,Connie Haley,Silesia,North Jasontown,09658,90977 Taylor Trail,+48722979734
