tele_id, tele_PESEL, tele_name, tele_salary, valid
1,85966329555,Judy Keller,1200,1
2,68817497281,Brenda Smith,1200,0
3,55832258895,Patrick Hill,900,1
4,48157722197,David Little,1000,0
5,55439761433,Ashley Fleming,1200,1
6,22637275487,William Benton,1000,1
7,28913865562,Barbara Stone,1200,0
8,54853729217,Jennifer Robbins,1200,1
9,62166335537,Joshua Stanley,1200,0
0,23811465263,Bryce Hall,1200,0
1,87662132256,Kristine Miller,900,1
2,71178821544,Helen Peck,1000,0
3,12259415252,Jessica Stephenson,1000,1
4,28264226415,Heather Park,1000,0
5,74837943829,Adriana Smith,1000,0
6,51778426273,Bernard Ward,1000,1
7,33998291936,Cheryl Baker DVM,1200,1
8,33546647762,Michael Wade,1200,1
9,32921952685,Thomas White,1000,1
10,51497715697,Mark Webb,900,0
11,77178598492,Bridget Torres,1000,1
12,54565738583,Cassandra Patel,1200,0
13,28669252678,Denise Brown,1200,0
14,95287478588,Rachel Baker,900,1
15,31126163599,Mark Meyer,1200,0
16,47344167377,Lisa Robles,1000,0
17,28463527138,Teresa Gardner,1000,0
18,64348714467,Melinda Garcia,1200,1
19,78232819672,Rickey White,1000,0
20,87958353554,Jordan Clarke,1000,1
21,89695232159,Laura Ramirez,900,0
22,48223917894,Christopher Odonnell,900,1
23,29766722813,Walter Stewart,900,0
24,72822452612,Kimberly Miller,900,1
25,44958153585,Alicia Wyatt,900,0
26,18994387289,Megan Johnson,1000,1
27,16935896134,Paul Thompson,1000,0
28,33285479442,Kathleen Davidson,1200,0
29,88929387373,Sheila Bailey,1000,1
30,95528122461,Kaitlin Arias,1000,1
31,82113379169,Douglas Paul,900,1
32,62578325592,Tonya Mcmahon,1200,0
33,27744865721,Jamie Olsen,1000,0
34,86238914673,Caroline Mclaughlin,900,0
35,43182415934,Christopher Villanueva,900,0
36,31718952277,Adam Mejia,1000,1
37,77662381222,Kimberly Cruz,1200,0
38,16744429268,Melissa Smith,1200,1
39,11326341885,Patrick Lee,900,0
40,81218674221,Jacob Hernandez,1200,0
41,53762558314,Tammy Evans,1000,1
42,63452131818,Mrs. Mary Moore,1200,1
43,57532988622,Lisa Padilla,900,1
44,52411333447,John Foster,1000,1
45,88426987336,Jennifer Beasley,900,1
46,91454734974,Brandon Frank,1200,1
47,13855476364,Thomas Camacho,1000,0
48,51671452451,Kevin Barrera,900,0
49,71347798896,Colleen Mcgee,900,1
50,51162292269,Carrie Zimmerman MD,1000,0
51,89962236222,Christopher Cook,1200,1
52,93192147487,Sara Thompson,1200,0
53,69117645239,Jerry Smith,1200,0
54,84938852439,Leah King,1200,0
55,12435224864,Kathleen Johnson,900,0
56,58199587969,Dr. Wendy Lee DDS,1000,1
57,23426561857,Kelly Kelley,1000,1
58,98655475676,Robert Santiago,1000,0
59,15785222857,Stephanie Hoover,900,0
60,93181656326,Dawn Trevino,900,0
61,91845829293,Melissa Travis,1200,0
62,72589264261,Adrienne Long,1200,1
63,25391991146,Justin Rodriguez,1000,0
64,57274211879,Gregory Smith,1200,1
65,65591673716,Jose Vaughn,1000,0
66,46579772265,Joshua Taylor,1000,0
67,71475548356,Lisa Green,1200,0
68,64942555378,Christopher White,1000,0
69,22844417547,Dana Lowe,1000,1
70,92161114862,Heidi Ford,900,0
71,85699763418,Mark Orr,1000,0
72,82825116193,Mary Rosales,1200,0
73,86656875318,David Franco,1200,0
74,29812937251,Angela Huff,900,1
75,73335128749,Dr. Jack Adams MD,1200,1
76,33212652383,Michael Henry,1200,1
77,72297215766,Chad Carson,1000,1
78,12997887854,Brad Williams,1000,1
79,27887281267,Melissa Moss,900,1
80,99899151494,Wanda Morris,1200,1
81,69988267413,Michael Brown,1000,1
82,68275478128,Matthew Roberts,1000,1
83,12743461862,Kendra Good,900,1
84,48515961497,Willie Taylor,1000,1
85,23599868268,Kimberly Reed,1200,1
86,33982158311,Thomas Fernandez,900,1
87,14653377876,Laura Gutierrez,1200,0
88,95381397686,Justin Rasmussen,1200,1
89,14913196545,Maria Sutton,1000,1
90,42184258332,Jennifer Pitts,1000,1
91,51164838533,Kimberly Wiley,1000,0
92,63581433928,Leslie Lindsey,1200,0
93,29265392734,Tyler Gould,900,1
94,62433511234,Michelle Yu,900,0
95,98836138968,Alfred Gonzalez,1200,1
96,61328216367,Christopher Ho,900,1
97,62392438128,William Mckenzie,900,1
98,27245212651,Maurice Rogers,900,0
99,82674297852,Stacy Combs,1000,1
